"Entity ID",SKU,"Product Type","Product Name","Image Path",Status,Reason
6490,1140608863,configurable,"FEUTRE DE COLORIAGE 12 PIECES SOUS LICENSE ""TECHNO"" REF: 4601",/f/e/feutre-de-coloriage-12-pcs-sous-license-techno-ref-4601-2.jpg,1,"File not found"
7352,1140594456,simple,"PORTE VALISE PLIABLE MARRON 60 x 45 x 67 CM TECHNO REF: 0174",/p/o/porte-valise-pliable-marron-60-x-45-x-67-cm-techno-ref-0174.jpg,1,"File not found"
8175,1140622675,configurable,"COMPAS ECOLIER A BAGUE ""TECHNO"" REF: 5363",/c/o/compas-ecolier-a-bague-techno-ref-5363.jpg,1,"File not found"
8533,1140654862,simple,"PATE A MODELER 12 COULEURS PASTELS SOUS BLISTER ""TECHNO"" REF: 7219",/p/a/pate-a-modeler-12-couleurs-pastels-sous-blister-techno-ref-7219.jpg,1,"File not found"
8607,1140660849,simple,"ENSEMBLE DE TRACAGE 03 PCS-30 cm LA COULEUR ROSE ""TECHNO"" REF: 9934",/e/n/ensemble-de-tracage-03-pcs-30-cm-la-couleur-rose-techno-ref-9934.jpg,1,"File not found"
8608,1140660850,simple,"ENSEMBLE DE TRACAGE 03 PCS-30 cm LA COULEUR VERT ""TECHNO"" REF: 9934",/e/n/ensemble-de-tracage-03-pcs-30-cm-la-couleur-vert-techno-ref-9934.jpg,1,"File not found"
8609,1140660851,simple,"ENSEMBLE DE TRACAGE 03 PCS-30 cm LA COULEUR BLEU ""TECHNO"" REF: 9934",/e/n/ensemble-de-tracage-03-pcs-30-cm-la-couleur-bleu-techno-ref-9934.jpg,1,"File not found"
8610,1140660852,simple,"ENSEMBLE DE TRACAGE 03 PCS-30 cm LA COULEUR ORANGE ""TECHNO"" REF: 9934",/e/n/ensemble-de-tracage-03-pcs-30-cm-la-couleur-orange-techno-ref-9934.jpg,1,"File not found"
8611,1140660853,simple,"ENSEMBLE DE TRACAGE 03 PCS-30 cm LA COULEUR VIOLET ""TECHNO"" REF: 9934",/e/n/ensemble-de-tracage-03-pcs-30-cm-la-couleur-violet-techno-ref-9934.jpg,1,"File not found"
8612,1140660854,simple,"ENSEMBLE DE TRACAGE 03 PCS-30 cm LA COULEUR TRANSPARENTE ""TECHNO"" REF: 9934",/e/n/ensemble-de-tracage-03-pcs-30-cm-la-couleur-transparente-techno-ref-9934.jpg,1,"File not found"
8613,1140660855,simple,"ENSEMBLE DE TRACAGE 03 PCS-20 cm LA COULEUR ROSE ""TECHNO"" REF: 9933",/e/n/ensemble-de-tracage-03-pcs-20-cm-la-couleur-rose-techno-ref-9933.jpg,1,"File not found"
8616,1140660889,simple,"ENSEMBLE DE TRACAGE 03 PCS-20 cm LA COULEUR ORANGE ""TECHNO"" REF: 9933",/e/n/ensemble-de-tracage-03-pcs-20-cm-la-couleur-orange-techno-ref-9933.jpg,1,"File not found"
8617,1140660890,simple,"ENSEMBLE DE TRACAGE 03 PCS-20 cm LA COULEUR VIOLET ""TECHNO"" REF: 9933",/e/n/ensemble-de-tracage-03-pcs-20-cm-la-couleur-violet-techno-ref-9933.jpg,1,"File not found"
8620,1140660893,simple,"REGLE ECOLIER PLATE 30 cm COULEUR JAUNE ""TECHNO"" REF: 9932",/r/e/regle-ecolier-plate-30-cm-couleur-jaune-techno-ref-9932.png,1,"File not found"
8621,1140660894,simple,"REGLE ECOLIER PLATE 30 cm COULEUR BLEU ""TECHNO"" REF: 9932",/r/e/regle-ecolier-plate-30-cm-couleur-bleu-techno-ref-9932.png,1,"File not found"
