sku	image_path
001	/c/a/cadeau_maped_scolaire_techno.jpg
01	/g/o/gomme-smiling-planet-fsc-recyclee-maped-ref-112521fm_0.jpg
01	/g/o/gomme-smiling-planet-fsc-recyclee-maped-ref-112521fm_1.jpg
01	/g/o/gomme-smiling-planet-fsc-recyclee-maped-ref-112521fm_2.jpg
01	/g/o/gomme-smiling-planet-fsc-recyclee-maped-ref-112521fm_3.jpg
02	/c/r/crayon-graphite-plastique-glitter-deco-hb-gomme-potx72-maped-ref-851805_0.jpg
02	/c/r/crayon-graphite-plastique-glitter-deco-hb-gomme-potx72-maped-ref-851805_1.jpg
02	/c/r/crayon-graphite-plastique-glitter-deco-hb-gomme-potx72-maped-ref-851805_2.jpg
02	/c/r/crayon-graphite-plastique-glitter-deco-hb-gomme-potx72-maped-ref-851805_3.jpg
02	/c/r/crayon-graphite-plastique-glitter-deco-hb-gomme-potx72-maped-ref-851805_4.jpg
02	/c/r/crayon-graphite-plastique-glitter-deco-hb-gomme-potx72-maped-ref-851805_6.jpg
02	/c/r/crayon-graphite-plastique-glitter-deco-hb-gomme-potx72-maped-ref-851805_7.jpg
03	/s/u/surligneur-flex-pastel-couleurs-assorties-en-display-maped-ref-740310_0.jpg
03	/s/u/surligneur-flex-pastel-couleurs-assorties-en-display-maped-ref-740310_1.jpg
03	/s/u/surligneur-flex-pastel-couleurs-assorties-en-display-maped-ref-740310_2.jpg
03	/s/u/surligneur-flex-pastel-couleurs-assorties-en-display-maped-ref-740310_3.jpg
03	/s/u/surligneur-flex-pastel-couleurs-assorties-en-display-maped-ref-740310_4.jpg
03	/s/u/surligneur-flex-pastel-couleurs-assorties-en-display-maped-ref-740310_5.jpg
03	/s/u/surligneur-flex-pastel-couleurs-assorties-en-display-maped-ref-740310_6.jpg
04	/c/o/compas-open-version-inter-boite-de-5-pcs-maped-ref-536955.png
1000	/p/e/peinture-a-eau-de-12-couleurs-motif-turtules-ninja-bleu-techno-ref-4389-0.jpg
1001	/p/e/peinture-a-eau-de-12-couleurs-motif-vert-techno-ref-4389-0.jpg
